critic,crit_org,crit_cn,movie,m_year,director,dir_dob,dir_pob,cob
Thelma Adams,Freelance film critic,US,Casino Royale,2006,Martin Campbell,1943-10-24,"Hastings, New Zealand",New Zealand
Thelma Adams,Freelance film critic,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Thelma Adams,Freelance film critic,US,Tabu,2012,Miguel Gomes,,,
Thelma Adams,Freelance film critic,US,Snow White,2012,Pablo Berger,,,
Thelma Adams,Freelance film critic,US,Frozen River,2008,Courtney Hunt,,,
Thelma Adams,Freelance film critic,US,Gosford Park,2001,Robert Altman,1925-02-20,"Kansas City, Missouri, U.S.",U.S.
Arturo Aguilar,Rolling Stone Mexico,Mexico,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Arturo Aguilar,Rolling Stone Mexico,Mexico,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Arturo Aguilar,Rolling Stone Mexico,Mexico,Inception,2010,Christopher Nolan,1970-07-30,"London, England",England
Arturo Aguilar,Rolling Stone Mexico,Mexico,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico",Mexico
Arturo Aguilar,Rolling Stone Mexico,Mexico,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Arturo Aguilar,Rolling Stone Mexico,Mexico,Grizzly Man,2005,Werner Herzog,1942-09-05,,
Arturo Aguilar,Rolling Stone Mexico,Mexico,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
Arturo Aguilar,Rolling Stone Mexico,Mexico,Holy Motors,2012,Leos Carax,1960-11-22,,
Arturo Aguilar,Rolling Stone Mexico,Mexico,The Last of the Unjust,2013,Claude Lanzmann,1925-11-27,"Paris, France",France
Arturo Aguilar,Rolling Stone Mexico,Mexico,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Matthew Anderson,BBC Culture,UK,The Piano Teacher,2001,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Matthew Anderson,BBC Culture,UK,Margaret,2011,Kenneth Lonergan,1962-10-16,"The Bronx, New York, U.S.",U.S.
Matthew Anderson,BBC Culture,UK,American Psycho,2000,Mary Harron,1953-01-12,"Bracebridge, Ontario, Canada",Canada
Matthew Anderson,BBC Culture,UK,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
Matthew Anderson,BBC Culture,UK,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Matthew Anderson,BBC Culture,UK,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Matthew Anderson,BBC Culture,UK,Lourdes,2009,Jessica Hausner,1972-10-06,"Vienna, Austria",Austria
Matthew Anderson,BBC Culture,UK,Red Road,2006,Andrea Arnold,1961-04-05,,
Matthew Anderson,BBC Culture,UK,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Matthew Anderson,BBC Culture,UK,Tony Manero,2008,Pablo Larraín,1976-08-19,"Santiago, Chile",Chile
Tim Appelo,The Wrap,US,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Tim Appelo,The Wrap,US,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Tim Appelo,The Wrap,US,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Tim Appelo,The Wrap,US,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico",Mexico
Tim Appelo,The Wrap,US,Finding Nemo,2003,Andrew Stanton and Lee Unkrich,,,
Tim Appelo,The Wrap,US,Hero,2002,Zhang Yimou,1951-11-14,,
Tim Appelo,The Wrap,US,The Wolf of Wall Street,2013,Martin Scorsese,1942-11-17,"New York City, U.S.",U.S.
Tim Appelo,The Wrap,US,Mother,2009,Bong Joon-ho,1969-09-14,"Daegu, South Korea",South Korea
Tim Appelo,The Wrap,US,The Bourne Ultimatum,2007,Paul Greengrass,1955-08-13,"Cheam, Surrey, England",England
Tim Appelo,The Wrap,US,Traffic,2000,Steven Soderbergh,1963-01-14,"Atlanta, Georgia, US",US
Adriano Aprà,Film historian,Italy,These Encounters of Theirs,2006,Danièle Huillet and Jean-Marie Straub,,,
Adriano Aprà,Film historian,Italy,Vincere,2009,Marco Bellocchio,1939-11-09,"Bobbio, Italy",Italy
Adriano Aprà,Film historian,Italy,Le quattro volte,2010,Michelangelo Frammartino,,"Milan, Italy",Italy
Adriano Aprà,Film historian,Italy,The Profession of Arms,2001,Ermanno Olmi,1931-07-24,"Bergamo, Italy",Italy
Adriano Aprà,Film historian,Italy,Gostanza da Libbiano,2000,Paolo Benvenuti,1946-01-30,"Pisa, Italy",Italy
Adriano Aprà,Film historian,Italy,Storia di una donna amata e di un assassino gentile,2009,Luigi M. Faccini,,,
Adriano Aprà,Film historian,Italy,At the First Breath of Wind,2003,Franco Piavoli,1933-06-21,"Pozzolengo, Lombardy, Italy",Italy
Adriano Aprà,Film historian,Italy,Sangue,2013,Pippo Delbono,,,
Adriano Aprà,Film historian,Italy,Terra,2015,Marco De Angelis and Antonio Di Trapani,,,
Adriano Aprà,Film historian,Italy,Oh! Man,2004,Yervant Gianikian and Angela Ricci Lucchi,,,
Michael Arbeiter,Nerdist,US,"Synecdoche, New York",2008,Charlie Kaufman,1958-11-19,"New York City, U.S.",U.S.
Michael Arbeiter,Nerdist,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Michael Arbeiter,Nerdist,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Michael Arbeiter,Nerdist,US,Black Swan,2010,Darren Aronofsky,1969-02-12,"New York City, U.S.",U.S.
Michael Arbeiter,Nerdist,US,The Comedy,2012,Rick Alverson,1971-06-25,"Spokane, Washington, U.S.",U.S.
Michael Arbeiter,Nerdist,US,Melancholia,2011,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
Michael Arbeiter,Nerdist,US,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,,
Michael Arbeiter,Nerdist,US,Inside Llewyn Davis,2013,Joel and Ethan Coen,1954-11-29,,
Michael Arbeiter,Nerdist,US,Only Lovers Left Alive,2013,Jim Jarmusch,1953-01-22,"Cuyahoga Falls, Ohio, U.S.",U.S.
Michael Arbeiter,Nerdist,US,The Congress,2013,Ari Folman,1962-12-17,"Haifa, Israel",Israel
Ali Arikan,Dipnot TV,Turkey,The Master,2012,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Ali Arikan,Dipnot TV,Turkey,25th Hour,2002,Spike Lee,1957-03-20,"Atlanta, Georgia, U.S.",U.S.
Ali Arikan,Dipnot TV,Turkey,24 Hour Party People,2002,Michael Winterbottom,1961-03-29,"Blackburn, Lancashire, England",England
Ali Arikan,Dipnot TV,Turkey,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Ali Arikan,Dipnot TV,Turkey,Once Upon a Time in Anatolia,2011,Nuri Bilge Ceylan,1959-01-26,"Istanbul, Turkey",Turkey
Ali Arikan,Dipnot TV,Turkey,Zodiac,2007,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Ali Arikan,Dipnot TV,Turkey,A Serious Man,2009,Joel and Ethan Coen,1954-11-29,,
Ali Arikan,Dipnot TV,Turkey,Tinker Tailor Soldier Spy,2011,Tomas Alfredson,1965-04-01,"Lidingö, Sweden",Sweden
Ali Arikan,Dipnot TV,Turkey,Primer,2004,Shane Carruth,,"Myrtle Beach, South Carolina, U.S.",U.S.
Ali Arikan,Dipnot TV,Turkey,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Michael Atkinson,The Village Voice,US,La commune,2000,"Paris, 1871) (Peter Watkins",,,
Michael Atkinson,The Village Voice,US,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,,,
Michael Atkinson,The Village Voice,US,2046,2004,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Michael Atkinson,The Village Voice,US,Adaptation,2002,Spike Jonze,1969-10-22,"New York City, U.S.",U.S.
Michael Atkinson,The Village Voice,US,Battle in Heaven,2005,Carlos Reygadas,1971-10-10,"Mexico City, Mexico",Mexico
Michael Atkinson,The Village Voice,US,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Michael Atkinson,The Village Voice,US,Inland Empire,2006,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Michael Atkinson,The Village Voice,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Michael Atkinson,The Village Voice,US,Mysteries of Lisbon,2010,Raoul Ruiz,1941-07-25,"Puerto Montt, Chile",Chile
Michael Atkinson,The Village Voice,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Ana Maria Bahiana,Freelance film critic,Brazil,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Ana Maria Bahiana,Freelance film critic,Brazil,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Ana Maria Bahiana,Freelance film critic,Brazil,Children of Men,2006,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico",Mexico
Ana Maria Bahiana,Freelance film critic,Brazil,City of God,2002,Fernando Meirelles and Kátia Lund,,,
Ana Maria Bahiana,Freelance film critic,Brazil,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico",Mexico
Ana Maria Bahiana,Freelance film critic,Brazil,Inception,2010,Christopher Nolan,1970-07-30,"London, England",England
Ana Maria Bahiana,Freelance film critic,Brazil,The Incredibles,2004,Brad Bird,1957-09-24,"Kalispell, Montana, U.S.",U.S.
Ana Maria Bahiana,Freelance film critic,Brazil,Birdman,2014,Alejandro González Iñárritu,1963-08-15,"Mexico City, Mexico",Mexico
Ana Maria Bahiana,Freelance film critic,Brazil,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Ana Maria Bahiana,Freelance film critic,Brazil,Brokeback Mountain,2005,Ang Lee,1954-10-23,"Chaozhou, Pingtung, Taiwan",Taiwan
Cameron Bailey,Toronto Film Festival,Canada,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Cameron Bailey,Toronto Film Festival,Canada,12 Years a Slave,2013,Steve McQueen,1930-03-24,"Beech Grove, Indiana, U.S.",U.S.
Cameron Bailey,Toronto Film Festival,Canada,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Cameron Bailey,Toronto Film Festival,Canada,Fish Tank,2009,Andrea Arnold,1961-04-05,,
Cameron Bailey,Toronto Film Festival,Canada,Mommy,2014,Xavier Dolan,1989-03-20,"Montreal, Quebec, Canada",Canada
Cameron Bailey,Toronto Film Festival,Canada,Talk to Her,2002,Pedro Almodóvar,1949-09-25,"Calzada de Calatrava, Spain",Spain
Cameron Bailey,Toronto Film Festival,Canada,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania",Mauritania
Cameron Bailey,Toronto Film Festival,Canada,Selma,2014,Ava DuVernay,1972-08-24,"Long Beach, California, U.S.",U.S.
Cameron Bailey,Toronto Film Festival,Canada,The White Ribbon,2009,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Cameron Bailey,Toronto Film Festival,Canada,The Headless Woman,2008,Lucrecia Martel,1966-12-14,"Salta, Argentina",Argentina
Lindsay Baker,BBC Culture,UK,The Royal Tenenbaums,2001,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Lindsay Baker,BBC Culture,UK,Far From Heaven,2002,Todd Haynes,1961-01-02,"Los Angeles, California, U.S.",U.S.
Lindsay Baker,BBC Culture,UK,Moonrise Kingdom,2012,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Lindsay Baker,BBC Culture,UK,Lost in Translation,2003,Sofia Coppola,1971-05-14,"New York City, U.S.",U.S.
Lindsay Baker,BBC Culture,UK,A Single Man,2009,Tom Ford,1961-08-27,"Austin, Texas, U.S.",U.S.
Lindsay Baker,BBC Culture,UK,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Lindsay Baker,BBC Culture,UK,Toy Story 3,2010,Lee Unkrich,1967-08-08,"Cleveland, Ohio, U.S.",U.S.
Lindsay Baker,BBC Culture,UK,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Lindsay Baker,BBC Culture,UK,I Am Love,2009,Luca Guadagnino,1971-08-10,"Palermo, Sicily, Italy",Italy
Lindsay Baker,BBC Culture,UK,Donnie Darko,2001,Richard Kelly,,,
Miriam Bale,Freelance film critic,US,Inherent Vice,2014,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Miriam Bale,Freelance film critic,US,Film socialisme,2010,Jean-Luc Godard,1930-12-03,"Paris, France",France
Miriam Bale,Freelance film critic,US,A History of Violence,2005,David Cronenberg,1943-03-15,"Toronto, Ontario, Canada",Canada
Miriam Bale,Freelance film critic,US,This Is the End,2013,Evan Goldberg and Seth Rogen,,,
Miriam Bale,Freelance film critic,US,Somewhere,2010,Sofia Coppola,1971-05-14,"New York City, U.S.",U.S.
Miriam Bale,Freelance film critic,US,Holy Motors,2012,Leos Carax,1960-11-22,,
Miriam Bale,Freelance film critic,US,Almayer's Folly,2011,Chantal Akerman,1950-06-06,"Brussels, Belgium",Belgium
Miriam Bale,Freelance film critic,US,Inside Llewyn Davis,2013,Joel and Ethan Coen,1954-11-29,,
Miriam Bale,Freelance film critic,US,The Story of Marie and Julien,2003,Jacques Rivette,1928-03-01,"Rouen, France",France
Miriam Bale,Freelance film critic,US,Bamboozled,2000,Spike Lee,1957-03-20,"Atlanta, Georgia, U.S.",U.S.
Nicholas Barber,BBC Culture,UK,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Nicholas Barber,BBC Culture,UK,Under the Skin,2013,Jonathan Glazer,1965-03-26,"London, England",England
Nicholas Barber,BBC Culture,UK,Anomalisa,2015,Duke Johnson and Charlie Kaufman,,,
Nicholas Barber,BBC Culture,UK,12 Years a Slave,2013,Steve McQueen,1930-03-24,"Beech Grove, Indiana, U.S.",U.S.
Nicholas Barber,BBC Culture,UK,Madagascar 3: Europe's Most Wanted,2012,"Eric Darnell, Tom McGrath and Conrad Vernon",,,
Nicholas Barber,BBC Culture,UK,Another Year,2010,Mike Leigh,1943-02-20,,
Nicholas Barber,BBC Culture,UK,The Diving Bell and the Butterfly,2007,Julian Schnabel,1951-10-26,"New York City, U.S.",U.S.
Nicholas Barber,BBC Culture,UK,Children of Men,2006,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico",Mexico
Nicholas Barber,BBC Culture,UK,The Social Network,2010,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Nicholas Barber,BBC Culture,UK,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Diego Batlle,La Nacion,Argentina,WALL-E,2008,Andrew Stanton,1965-12-03,"Rockport, Massachusetts, U.S.",U.S.
Diego Batlle,La Nacion,Argentina,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Diego Batlle,La Nacion,Argentina,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Diego Batlle,La Nacion,Argentina,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Diego Batlle,La Nacion,Argentina,The Son's Room,2001,Nanni Moretti,1953-08-19,"Bruneck, South Tyrol, Italy",Italy
Diego Batlle,La Nacion,Argentina,Extraordinary Stories,2008,Mariano Llinás,1975-02-10,"Buenos Aires, Argentina",Argentina
Diego Batlle,La Nacion,Argentina,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Diego Batlle,La Nacion,Argentina,The Social Network,2010,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Diego Batlle,La Nacion,Argentina,Elephant,2003,Gus Van Sant,1952-07-24,,
Diego Batlle,La Nacion,Argentina,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,,,
NT Binh,Positif,France,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
NT Binh,Positif,France,Talk to Her,2002,Pedro Almodóvar,1949-09-25,"Calzada de Calatrava, Spain",Spain
NT Binh,Positif,France,The Assassin,2015,Hou Hsiao-hsien,1947-04-08,"Meihsien County, Kwangtung, Republic of China",Republic of China
NT Binh,Positif,France,Million Dollar Baby,2004,Clint Eastwood,,,
NT Binh,Positif,France,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
NT Binh,Positif,France,Leviathan,2014,Andrey Zvyagintsev,1964-02-06,"Novosibirsk, RSFSR, Soviet Union",Soviet Union
NT Binh,Positif,France,A Touch of Sin,2013,Jia Zhangke,1970-05-24,"Fenyang, Shanxi, China",China
NT Binh,Positif,France,Distant,2002,Nuri Bilge Ceylan,1959-01-26,"Istanbul, Turkey",Turkey
NT Binh,Positif,France,The New World,2005,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
NT Binh,Positif,France,A Prophet,2009,Jacques Audiard,1952-04-30,"Paris, France",France
Lizelle Bisschoff,University of Glasgow,UK,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania",Mauritania
Lizelle Bisschoff,University of Glasgow,UK,Blue Is the Warmest Color,2013,Abdellatif Kechiche,1960-12-07,"Tunis, Tunisia",Tunisia
Lizelle Bisschoff,University of Glasgow,UK,Moolaadé,Sembèène 2004,Ousmane,,,
Lizelle Bisschoff,University of Glasgow,UK,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Lizelle Bisschoff,University of Glasgow,UK,The Secret in Their Eyes,2009,Juan José Campanella,1959-07-19,"Buenos Aires, Argentina",Argentina
Lizelle Bisschoff,University of Glasgow,UK,Oldboy,2003,Park Chan-wook,1963-08-23,"Seoul, South Korea",South Korea
Lizelle Bisschoff,University of Glasgow,UK,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Lizelle Bisschoff,University of Glasgow,UK,Fat Girl,2001,Catherine Breillat,1948-07-13,,
Lizelle Bisschoff,University of Glasgow,UK,The Orphanage,2007,J. A. Bayona,1975-05-09,"Barcelona, Spain",Spain
Lizelle Bisschoff,University of Glasgow,UK,The Hunt,2012,Thomas Vinterberg,1969-05-19,"Frederiksberg, Denmark",Denmark
Christian Blauvelt,BBC Culture,US,Spring Breakers,2012,Harmony Korine,1973-01-04,"Bolinas, California, U.S.",U.S.
Christian Blauvelt,BBC Culture,US,My Winnipeg,2007,Guy Maddin,1956-02-28,"Winnipeg, Manitoba, Canada",Canada
Christian Blauvelt,BBC Culture,US,The Ghost Writer,2010,Roman Polanski,1933-08-18,"Paris, French Third Republic",French Third Republic
Christian Blauvelt,BBC Culture,US,Moulin Rouge!,2001,Baz Luhrmann,1962-09-17,,
Christian Blauvelt,BBC Culture,US,Star Wars: Episode III – Revenge of the Sith,2005,George Lucas,1944-05-14,"Modesto, California, U.S.",U.S.
Christian Blauvelt,BBC Culture,US,Manakamana,2013,Pacho Velez and Stephanie Spray,,,
Christian Blauvelt,BBC Culture,US,The Curious Case of Benjamin Button,2008,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Christian Blauvelt,BBC Culture,US,"You, The Living",2007,Roy Andersson,1943-03-31,"Gothenburg, Sweden",Sweden
Christian Blauvelt,BBC Culture,US,Mother,2009,Bong Joon-ho,1969-09-14,"Daegu, South Korea",South Korea
Christian Blauvelt,BBC Culture,US,A Serious Man,2009,Joel and Ethan Coen,1954-11-29,,
Mahen Bonetti,African Film Festival Inc,US,Moolaadé,2004,Ousmane Sembène,1923-01-01,"Ziguinchor, Casamance, French West Africa",French West Africa
Mahen Bonetti,African Film Festival Inc,US,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania",Mauritania
Mahen Bonetti,African Film Festival Inc,US,Cuba: An African Odyssey,2007,Jihan El-Tahri,,,
Mahen Bonetti,African Film Festival Inc,US,"Sexe, gombo et beurre salé",2008,Mahamat-Saleh Haroun,,,
Mahen Bonetti,African Film Festival Inc,US,Shoot the Messenger,2006,Ngozi Onwurah,,"Nigeria, West Africa.",West Africa.
Mahen Bonetti,African Film Festival Inc,US,Red Leaves,2014,Bazi Gete,,,
Mahen Bonetti,African Film Festival Inc,US,The Colonial Misunderstanding,2004,Jean-Marie Téno,,,
Mahen Bonetti,African Film Festival Inc,US,Restless City,2011,Andrew Dosunmu,,,
Mahen Bonetti,African Film Festival Inc,US,Conversations on a Sunday Afternoon,2005,Khalo Matabane,,,
Mahen Bonetti,African Film Festival Inc,US,Belle,2013,Amma Asante,1969-09-13,"Lambeth, London, England",England
Andreas Borcholte,Spiegel Online,Germany,Requiem for a Dream,2000,Darren Aronofsky,1969-02-12,"New York City, U.S.",U.S.
Andreas Borcholte,Spiegel Online,Germany,Antichrist,2009,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
Andreas Borcholte,Spiegel Online,Germany,Children of Men,2006,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico",Mexico
Andreas Borcholte,Spiegel Online,Germany,The Child,2005,Jean-Pierre and Luc Dardenne,1951-04-21,"Liège, Belgium",Belgium
Andreas Borcholte,Spiegel Online,Germany,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Andreas Borcholte,Spiegel Online,Germany,Fish Tank,2009,Andrea Arnold,1961-04-05,,
Andreas Borcholte,Spiegel Online,Germany,The Tree of Life,2011,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Andreas Borcholte,Spiegel Online,Germany,Inception,2010,Christopher Nolan,1970-07-30,"London, England",England
Andreas Borcholte,Spiegel Online,Germany,Kill Bill: Vol. 1,2003,Quentin Tarantino,1963-03-27,,
Andreas Borcholte,Spiegel Online,Germany,Irreversible,2002,Gaspar Noé,1963-12-27,"Buenos Aires, Argentina",Argentina
Utpal Borpujari,Freelance film critic,India,Amour,2012,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Utpal Borpujari,Freelance film critic,India,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Utpal Borpujari,Freelance film critic,India,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Utpal Borpujari,Freelance film critic,India,A Prophet,2009,Jacques Audiard,1952-04-30,"Paris, France",France
Utpal Borpujari,Freelance film critic,India,Monsoon Wedding,2001,Mira Nair,1957-10-15,"Rourkela, Orissa, India",India
Utpal Borpujari,Freelance film critic,India,Son of Saul,2015,László Nemes,1977-02-18,"Budapest, Hungary",Hungary
Utpal Borpujari,Freelance film critic,India,Thithi,2015,Raam Reddy,,,
Utpal Borpujari,Freelance film critic,India,Blue Is the Warmest Color,2013,Abdellatif Kechiche,1960-12-07,"Tunis, Tunisia",Tunisia
Utpal Borpujari,Freelance film critic,India,No Man's Land,2001,Danis Tanovic,1969-02-20,"Zenica, SR Bosnia and Herzegovina, SFR Yugoslavia",SFR Yugoslavia
Utpal Borpujari,Freelance film critic,India,Waltz with Bashir,2008,Ari Folman,1962-12-17,"Haifa, Israel",Israel
Richard Brody,The New Yorker,US,In Praise of Love,2001,Jean-Luc Godard,1930-12-03,"Paris, France",France
Richard Brody,The New Yorker,US,The Wolf of Wall Street,2013,Martin Scorsese,1942-11-17,"New York City, U.S.",U.S.
Richard Brody,The New Yorker,US,The Last of the Unjust,2013,Claude Lanzmann,1925-11-27,"Paris, France",France
Richard Brody,The New Yorker,US,Like Someone In Love,2012,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran",Imperial State of Iran
Richard Brody,The New Yorker,US,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Richard Brody,The New Yorker,US,Butter on the Latch,2013,Josephine Decker,1981-04-02,"London, England",England
Richard Brody,The New Yorker,US,Heaven Knows What,2014,Josh and Benny Safdie,,,
